id,date,species,sex,wing,mass
mhoC9V0AU3-r1FY2T4,2012-06-29,Northern Cardinal,F,90,44.4
dJCAR9lDW0-hL90Tmt,2012-07-13,House Wren,M,52,10.7
pdf0cBgHA3-b5LC2WX,2012-07-11,Northern Cardinal,M,94,41.4
txCm751Ve6-lC8w6co,2012-07-12,Song Sparrow,F,61,20.7
a3KVD5J7qv-lC8w6co,2012-07-12,Song Sparrow,F,62,19.9
tA0xp827M7-b5LC2WX,2012-07-11,Northern Cardinal,M,92,40.6
q2yFLr74t2-lC8w6co,2012-07-12,Carolina Wren,M,59,19.4
l776PQT54O-b5LC2WX,2012-07-11,Carolina Wren,M,58,20.7
gny4TvL94K-b5LC2WX,2012-07-11,Northern Cardinal,M,92,41.9
sZ4Ou6d235-b5LC2WX,2012-07-11,Song Sparrow,M,67,22.8
c27TCvz04w-b5LC2WX,2012-07-11,Gray Catbird,M,83,32.5
wpdfvx4mAh-b5LC2WX,2012-07-11,Northern Cardinal,F,85,39
gBC987O6b0-jj6Xy84,2012-07-10,House Wren,M,49.5,10.6
eOiRE1kHV5-hL90Tmt,2012-07-13,House Wren,M,50,10.5
awsu7SR1X8-lC8w6co,2012-07-12,Northern Cardinal,F,90,47.4
yx8D6Ja9Vv-hL90Tmt,2012-07-13,Song Sparrow,M,63,21.2
l9er8iR103-jj6Xy84,2012-07-10,Northern Cardinal,M,93,44.5
gi4l0n42zs-hL90Tmt,2012-07-13,Northern Cardinal,F,92,41.4
ouO281gk0I-g45S5lB,2012-07-19,Gray Catbird,F,93,32.5
vQ5B197Dng-g45S5lB,2012-07-19,Song Sparrow,M,68,22.6
uQjO6ZU4gv-g45S5lB,2012-07-19,Carolina Wren,F,62,21.2
nUqO1E9Tpi-cl90ge6,2012-07-25,Song Sparrow,M,65.5,21.3
b1IeZ90nhA-cl90ge6,2012-07-25,Song Sparrow,F,62,21.4
a5503oP0R9-g45S5lB,2012-07-19,Carolina Chickadee,F,61,8.9
qU3YAb3Lza-cl90ge6,2012-07-25,House Wren,F,49,10.2
mG8O6QAtH4-uz712c0,2012-07-21,Song Sparrow,M,66,20.1
eRxt518221-cl90ge6,2012-07-25,House Wren,M,49,10.1
s18FQ5DBwU-bXPbz9A,2012-07-28,Northern Cardinal,F,90,43.9
