Visit_ID,Site_ID,Treatment,Sample_number,Provisional_ID,ID2,Caterpillar_mass_mg,DaysSince
10,163,Unlit,21,Small noctuid - SSR?,Brown noctuid,38.74,12
10,163,Unlit,22,Small noctuid - SSR?,Brown noctuid,3.84,12
10,163,Unlit,23,Small noctuid - SSR?,Brown noctuid,9.54,12
10,163,Unlit,24,Small noctuid - SSR?,Brown noctuid,6.94,12
10,163,Unlit,25,Small noctuid - SSR?,Brown noctuid,5.34,12
10,163,Unlit,26,Small noctuid - SSR?,Brown noctuid,30.54,12
10,163,Unlit,27,Small noctuid - SSR?,Brown noctuid,11.84,12
10,163,Unlit,28,Small noctuid - SSR?,Brown noctuid,11.04,12
11,161,Unlit,1,Small noctuid - SSR?,Brown noctuid,50.3,12
11,161,Unlit,2,Small noctuid - SSR?,Brown noctuid,24.9,12
11,161,Unlit,3,Small noctuid - SSR?,Brown noctuid,39.1,12
11,161,LPS,1,Small noctuid - SSR?,Brown noctuid,79.2,12
11,161,LPS,2,Small noctuid - SSR?,Brown noctuid,50.6,12
11,161,LED,1,Small noctuid - SSR?,Brown noctuid,45,12
11,161,LED,2,Small noctuid - SSR?,Brown noctuid,45.2,12
12,16,HPS,1,Small noctuid - SSR?,Brown noctuid,180.9,12
12,16,HPS,2,Small noctuid - SSR?,Brown noctuid,43.9,12
12,16,Unlit,1,Small noctuid - SSR?,Brown noctuid,41.4,12
12,16,Unlit,2,Small noctuid - SSR?,Brown noctuid,65.3,12
12,16,Unlit,3,Small noctuid - SSR?,Brown noctuid,68.8,12
12,16,Unlit,4,Small noctuid - SSR?,Brown noctuid,45.4,12
12,16,Unlit,5,Small noctuid - SSR?,Brown noctuid,42.2,12
12,16,Unlit,6,Small noctuid - SSR?,Brown noctuid,31.1,12
12,16,Unlit,7,Small noctuid - SSR?,Brown noctuid,30.9,12
12,16,Unlit,8,Small noctuid - SSR?,Brown noctuid,53.9,12
21,143,HPS,10,small noctuid - SSR?,Brown noctuid,58.9,39
21,143,HPS,6,SSR,Brown noctuid,178.9,39
21,143,HPS,9,Small noctuid - SSR?,Brown noctuid,60.3,39
21,143,HPS,3,Small noctuid - SSR?,Brown noctuid,34.5,39
21,143,HPS,4,ssR,Brown noctuid,125.9,39
21,143,HPS,7,ssR,Brown noctuid,98.5,39
21,143,HPS,8,ssR,Brown noctuid,153.1,39
21,143,HPS,11,ssR,Brown noctuid,125.7,39
21,143,HPS,5,ssR,Brown noctuid,105.9,39
13,143,Unlit,16,Small noctuid - SSR?,Brown noctuid,49.5,12
13,143,Unlit,48,Small noctuid - SSR?,Brown noctuid,88.7,12
13,143,Unlit,15,small noctuid - ssr?,Brown noctuid,110.1,12
13,143,Unlit,28,small noctuid - ssr?,Brown noctuid,83.2,12
13,143,Unlit,44,small noctuid - ssr?,Brown noctuid,37.4,12
13,143,Unlit,31,small noctuid - ssr?,Brown noctuid,39.8,12
13,143,Unlit,19,small noctuid - ssr?,Brown noctuid,27.8,12
13,143,Unlit,40,small noctuid - ssr?,Brown noctuid,23,12
13,143,Unlit,26,small noctuid - ssr?,Brown noctuid,74.7,12
13,143,Unlit,7,Small noctuid - SSR?,Brown noctuid,75.6,12
13,143,Unlit,33,Small noctuid - SSR?,Brown noctuid,64.3,12
13,143,Unlit,14,large yellow Underwing?,Large Yellow Underwing,266.3,12
13,143,Unlit,22,Small noctuid - SSR?,Brown noctuid,40.1,12
13,143,Unlit,11,Small noctuid - SSR?,Brown noctuid,55.9,12
13,143,Unlit,34,Small noctuid - SSR?,Brown noctuid,73.89,12
13,143,Unlit,3,Small noctuid - SSR?,Brown noctuid,52,12
13,143,Unlit,29,Small noctuid - SSR?,Brown noctuid,84,12
13,143,Unlit,36,Small noctuid - SSR?,Brown noctuid,74,12
13,143,Unlit,9,Small noctuid - SSR?,Brown noctuid,44.3,12
13,143,Unlit,23,Small noctuid - SSR?,Brown noctuid,40.3,12
13,143,Unlit,4,Small noctuid - SSR?,Brown noctuid,76.5,12
13,143,Unlit,41,Small noctuid - SSR?,Brown noctuid,21.4,12
13,143,Unlit,22.5,Small noctuid - SSR?,Brown noctuid,4.34,12
13,143,Unlit,16,Small noctuid - SSR?,Brown noctuid,29.7,12
13,143,Unlit,2,Small noctuid - SSR?,Brown noctuid,48.8,12
13,143,Unlit,32,Small noctuid - SSR?,Brown noctuid,53.8,12
13,143,Unlit,25,Small noctuid - SSR?,Brown noctuid,46.9,12
13,143,Unlit,5,large yellow Underwing?,Large Yellow Underwing,424.8,12
